,0
mean_fit_time,20.59396300315857
std_fit_time,0.9455944905995639
mean_score_time,0.5720808029174804
std_score_time,0.010372868746315003
param_criterion,entropy
param_max_depth,50
param_max_features,2
param_n_estimators,100
params,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 2, 'n_estimators': 100}"
split0_test_score,0.6245028722934158
split1_test_score,0.629584622182943
split2_test_score,0.6373177198409191
split3_test_score,0.6305788775961113
split4_test_score,0.6302066070047508
mean_test_score,0.630438144899357
std_test_score,0.004083130286304998
rank_test_score,1
split0_train_score,0.9794238683127572
split1_train_score,0.9801695804678653
split2_train_score,0.9804457701549424
split3_train_score,0.9795067252188804
split4_train_score,0.9800872735307115
mean_train_score,0.9799266435370313
std_train_score,0.00039583509513915294
