,0
mean_fit_time,15.184142303466796
std_fit_time,0.23147457757376122
mean_score_time,0.5811491012573242
std_score_time,0.0130275386220106
param_max_depth,50
param_max_features,2
param_n_estimators,100
params,"{'max_depth': 50, 'max_features': 2, 'n_estimators': 100}"
split0_test_score,0.6231771984091914
split1_test_score,0.6207467962881131
split2_test_score,0.6337825894829872
split3_test_score,0.634887317719841
split4_test_score,0.6197105292232903
mean_test_score,0.6264610353741797
std_test_score,0.0065362454219269
rank_test_score,1
split0_train_score,0.9794238683127572
split1_train_score,0.9801695804678653
split2_train_score,0.9804457701549424
split3_train_score,0.979534344187588
split4_train_score,0.9800872735307115
mean_train_score,0.9799321673307728
std_train_score,0.0003900876662719684
